Id,Domicilio,Transporte,TarjetasCredito,Edad,Sexo,Sueldo
1391,LimaNorte,AUTOMOVIL,4,27,F,1796
1392,LimaNorte,AUTOMOVIL,3,36,M,5000
1393,LimaEste,CAMIONETA RURAL,2,41,M,5122
1394,LimaModerna1,AUTOMOVIL,3,43,M,3762
1395,LimaModerna1,AUTOMOVIL,5,51,M,2000
1396,LimaModerna1,AUTOMOVIL,4,51,F,2995
1397,LimaModerna2,AUTOMOVIL,4,57,M,9093
1398,LimaModerna2,AUTOMOVIL,4,41,F,4000
1399,LimaModerna1,AUTOMOVIL,2,28,F,3800
1400,LimaModerna1,AUTOMOVIL,1,26,M,4721
1401,LimaModerna1,AUTOMOVIL,1,55,M,12042
1402,LimaModerna1,AUTOMOVIL,3,60,M,17633
1403,LimaModerna1,AUTOMOVIL,3,59,F,930
1404,LimaModerna2,AUTOMOVIL,3,60,M,4234
1405,LimaModerna2,AUTOMOVIL,3,38,F,7000
1406,LimaModerna2,AUTOMOVIL,1,28,M,9450
1407,LimaModerna1,CAMIONETA RURAL,4,52,M,930
1408,LimaModerna1,CAMIONETA RURAL,3,31,F,1093
1409,LimaNorte,AUTOMOVIL,5,47,M,11404
1410,LimaNorte,AUTOMOVIL,4,37,M,8314
1411,LimaEste,AUTOMOVIL,3,56,M,1200
1412,LimaEste,AUTOMOVIL,1,37,M,8500
1413,LimaEste,AUTOMOVIL,2,29,M,3017
1414,LimaModerna1,CAMIONETA RURAL,2,43,M,930
1415,LimaModerna1,CAMIONETA RURAL,3,32,M,1500
1416,LimaModerna1,CAMIONETA RURAL,2,71,M,1180
1417,LimaSur,AUTOMOVIL,3,33,F,2793
1418,LimaSur,AUTOMOVIL,4,50,M,26636
1419,LimaSur,AUTOMOVIL,4,46,F,6948
1420,LimaSur,AUTOMOVIL,4,61,M,1060
1421,LimaSur,AUTOMOVIL,2,52,M,5939
1422,LimaModerna1,AUTOMOVIL,3,64,M,5986
1423,LimaModerna1,AUTOMOVIL,2,37,M,930
1424,LimaNorte,CAMIONETA RURAL,3,32,M,1500
1425,LimaModerna1,AUTOMOVIL,1,32,F,904
1426,LimaModerna1,AUTOMOVIL,2,45,M,17093
1427,LimaModerna1,AUTOMOVIL,1,73,M,9204
1428,LimaModerna1,AUTOMOVIL,4,38,F,2500
1429,LimaModerna1,AUTOMOVIL,1,73,M,9204
1430,LimaModerna2,AUTOMOVIL,4,52,F,1621
1431,LimaModerna2,AUTOMOVIL,3,32,M,3873
1432,LimaModerna2,AUTOMOVIL,1,55,F,7337
1433,LimaModerna2,AUTOMOVIL,1,55,F,7337
1434,LimaSur,CAMIONETA RURAL,4,46,M,12000
1435,LimaModerna1,CAMIONETA RURAL,4,45,F,3768
1436,LimaModerna1,CAMIONETA RURAL,1,30,M,4200
1437,LimaModerna1,CAMIONETA RURAL,5,51,F,3988
1438,LimaModerna1,CAMIONETA RURAL,4,46,M,7099
1439,LimaModerna1,CAMIONETA RURAL,2,55,F,11691
1440,LimaModerna1,CAMIONETA RURAL,2,45,M,3860
1441,LimaModerna1,CAMIONETA RURAL,6,49,F,17000
1442,LimaModerna2,CAMIONETA RURAL,2,26,M,5472
1443,LimaModerna2,CAMIONETA RURAL,7,45,M,12996
1444,LimaModerna2,AUTOMOVIL,3,59,M,1122
1445,LimaModerna2,AUTOMOVIL,2,33,M,4000
1446,LimaModerna2,AUTOMOVIL,3,35,M,12460
1447,Callao,AUTOMOVIL,5,34,M,3110
1448,LimaModerna1,AUTOMOVIL,4,54,M,14000
1449,LimaModerna1,AUTOMOVIL,2,36,F,17364
1450,LimaModerna1,AUTOMOVIL,4,46,M,12093
1451,LimaModerna1,AUTOMOVIL,2,26,F,3047
1452,LimaModerna1,AUTOMOVIL,6,43,M,1085
1453,LimaModerna1,AUTOMOVIL,2,75,F,1042
1454,LimaModerna1,AUTOMOVIL,2,31,F,7500
1455,LimaModerna1,AUTOMOVIL,1,28,M,20508
1456,LimaModerna1,AUTOMOVIL,3,47,F,5224
1457,LimaModerna1,AUTOMOVIL,2,25,F,10862
1458,LimaModerna1,AUTOMOVIL,2,27,M,7500
1459,LimaModerna1,AUTOMOVIL,3,32,M,23950
1460,LimaCentro,CAMIONETA RURAL,4,49,M,1870
1461,LimaCentro,CAMIONETA RURAL,4,37,M,2000
1462,LimaCentro,CAMIONETA RURAL,5,37,M,19840
1463,LimaCentro,CAMIONETA RURAL,3,49,M,930
1464,LimaModerna2,AUTOMOVIL,1,60,M,39900
1465,LimaModerna2,AUTOMOVIL,4,61,M,10093
1466,LimaModerna2,AUTOMOVIL,5,35,M,9619
1467,LimaModerna2,AUTOMOVIL,4,42,M,49633
1468,LimaEste,AUTOMOVIL,2,49,M,3828
1469,Callao,AUTOMOVIL,3,56,M,1253
1470,LimaModerna1,STATION WAGON,2,45,M,2333
1471,LimaModerna1,AUTOMOVIL,3,31,M,4000
1472,LimaModerna1,AUTOMOVIL,3,31,M,4000
1473,LimaEste,AUTOMOVIL,2,76,F,1231
1474,LimaModerna2,AUTOMOVIL,1,51,M,3703
1475,LimaModerna2,AUTOMOVIL,4,32,F,2969
1476,LimaModerna2,AUTOMOVIL,4,42,F,16093
1477,LimaModerna2,AUTOMOVIL,5,66,M,20530
1478,LimaModerna2,AUTOMOVIL,2,32,M,7950
1479,LimaCentro,CAMIONETA RURAL,2,38,M,5500
1480,LimaEste,AUTOMOVIL,3,44,M,10411
1481,LimaEste,AUTOMOVIL,3,34,F,4494
1482,LimaEste,AUTOMOVIL,2,41,F,9500
1483,LimaEste,AUTOMOVIL,3,47,M,2476
1484,LimaEste,AUTOMOVIL,4,34,F,15250
1485,LimaCentro,AUTOMOVIL,6,61,F,3769
1486,LimaCentro,AUTOMOVIL,6,61,F,3769
1487,Callao,AUTOMOVIL,3,50,M,4000
1488,Callao,AUTOMOVIL,3,75,F,930
1489,Callao,AUTOMOVIL,3,46,M,4093
1490,LimaModerna1,AUTOMOVIL,2,43,F,8310
1491,LimaModerna1,AUTOMOVIL,2,26,M,2674
1492,LimaModerna1,AUTOMOVIL,1,32,M,6217
1493,LimaEste,CAMIONETA RURAL,1,80,M,21915
1494,LimaModerna1,AUTOMOVIL,4,40,F,12872
1495,LimaModerna1,AUTOMOVIL,5,46,M,930
1496,LimaModerna1,AUTOMOVIL,5,50,M,20623
1497,LimaModerna1,AUTOMOVIL,4,51,M,1500
1498,LimaModerna1,AUTOMOVIL,1,82,M,1119
1499,LimaEste,CAMIONETA PICK UP,2,65,M,11691
1500,Callao,AUTOMOVIL,1,33,M,6679
1501,Callao,AUTOMOVIL,4,48,M,8282
1502,Callao,AUTOMOVIL,3,42,F,2984
1503,Callao,AUTOMOVIL,5,50,F,2446
1504,LimaModerna1,AUTOMOVIL,1,33,M,3711
1505,LimaModerna1,AUTOMOVIL,2,69,M,1118
1506,LimaModerna1,AUTOMOVIL,2,70,M,930
1507,LimaNorte,CAMIONETA RURAL,4,39,M,3093
1508,LimaEste,AUTOMOVIL,2,40,M,3380
1509,LimaEste,CAMIONETA PICK UP,2,43,M,1800
1510,LimaEste,CAMIONETA RURAL,2,47,F,7190
1511,LimaEste,CAMIONETA RURAL,1,44,M,14083
1512,LimaEste,CAMIONETA RURAL,4,48,F,4973
1513,LimaModerna1,AUTOMOVIL,3,45,M,13000
1514,LimaModerna1,AUTOMOVIL,1,30,F,5730
1515,LimaModerna1,AUTOMOVIL,4,59,M,28202
1516,LimaModerna1,AUTOMOVIL,1,48,M,30878
1517,LimaModerna1,AUTOMOVIL,3,44,M,3101
1518,LimaModerna1,AUTOMOVIL,2,54,F,1500
1519,LimaModerna1,AUTOMOVIL,2,29,M,3294
1520,LimaModerna2,AUTOMOVIL,2,33,M,935
1521,LimaModerna2,AUTOMOVIL,1,59,M,8093
1522,LimaModerna2,AUTOMOVIL,4,52,M,5310
1523,LimaModerna2,AUTOMOVIL,3,47,M,26901
1524,LimaModerna1,AUTOMOVIL,2,43,M,6279
1525,LimaModerna1,AUTOMOVIL,3,28,M,2300
1526,LimaModerna2,AUTOMOVIL,4,45,F,2455
1527,LimaModerna2,AUTOMOVIL,5,46,M,13297
1528,LimaModerna1,CAMIONETA RURAL,4,52,F,4033
1529,LimaModerna1,CAMIONETA RURAL,1,53,M,25093
1530,LimaNorte,AUTOMOVIL,6,25,F,5277
1531,LimaModerna1,CAMIONETA PICK UP,5,63,F,12751
1532,LimaModerna1,CAMIONETA PICK UP,3,44,M,2000
1533,LimaModerna1,CAMIONETA RURAL,2,73,M,2673
1534,LimaModerna1,AUTOMOVIL,3,55,M,3985
1535,LimaCentro,CAMIONETA PICK UP,1,62,M,11683
1536,LimaCentro,CAMIONETA PICK UP,2,47,M,2300
1537,LimaModerna1,AUTOMOVIL,5,60,F,10263
1538,LimaModerna1,AUTOMOVIL,2,31,F,930
1539,LimaModerna2,AUTOMOVIL,5,55,M,930
1540,LimaModerna2,AUTOMOVIL,1,31,M,4198
1541,LimaModerna2,AUTOMOVIL,1,34,F,8093
1542,LimaSur,AUTOMOVIL,3,28,M,5200
1543,LimaSur,CAMIONETA RURAL,3,39,M,2693
1544,LimaSur,CAMIONETA RURAL,4,46,M,6493
1545,LimaModerna1,CAMIONETA RURAL,1,64,M,7557
1546,LimaModerna1,CAMIONETA RURAL,5,55,F,11500
1547,LimaModerna1,CAMIONETA RURAL,5,43,M,7743
1548,LimaModerna2,CAMIONETA RURAL,2,38,M,19300
1549,LimaModerna2,CAMIONETA RURAL,4,43,M,6077
1550,LimaModerna2,CAMIONETA RURAL,3,45,M,6700
1551,LimaModerna2,CAMIONETA RURAL,2,27,F,6500
1552,LimaModerna2,AUTOMOVIL,5,58,F,2519
1553,LimaModerna2,AUTOMOVIL,3,47,M,6388
1554,LimaModerna2,AUTOMOVIL,2,33,F,5110
1555,LimaModerna2,AUTOMOVIL,1,47,M,5379
1556,Callao,AUTOMOVIL,3,30,F,4884
1557,LimaModerna1,AUTOMOVIL,4,29,M,992
1558,LimaModerna1,AUTOMOVIL,2,37,F,9792
1559,LimaModerna1,AUTOMOVIL,6,38,M,930
1560,LimaModerna1,AUTOMOVIL,4,59,F,8593
1561,LimaModerna1,AUTOMOVIL,3,52,M,3662
1562,LimaModerna1,AUTOMOVIL,4,60,M,1153
1563,LimaModerna1,AUTOMOVIL,1,26,F,8995
1564,LimaModerna1,AUTOMOVIL,3,30,M,6500
1565,LimaModerna1,AUTOMOVIL,3,59,M,32900
1566,LimaModerna1,AUTOMOVIL,2,39,F,7408
1567,LimaModerna1,AUTOMOVIL,1,58,M,14042
1568,LimaEste,CAMIONETA RURAL,4,43,M,12806
1569,LimaEste,CAMIONETA RURAL,2,39,M,2293
1570,LimaEste,CAMIONETA RURAL,5,25,F,1379
1571,Callao,AUTOMOVIL,2,34,M,7908
1572,LimaCentro,CAMIONETA RURAL,4,54,M,1023
1573,LimaCentro,CAMIONETA RURAL,1,43,M,20130
1574,LimaCentro,CAMIONETA RURAL,6,39,F,3608
1575,LimaModerna2,AUTOMOVIL,3,32,M,6968
1576,LimaModerna2,AUTOMOVIL,5,35,F,8337
1577,LimaModerna2,AUTOMOVIL,2,38,M,5587
1578,LimaEste,AUTOMOVIL,5,40,M,3140
1579,LimaEste,AUTOMOVIL,2,31,M,3700
1580,LimaEste,AUTOMOVIL,3,55,M,4383
1581,LimaModerna1,AUTOMOVIL,2,67,F,7233
1582,LimaEste,AUTOMOVIL,1,28,M,5500
1583,LimaEste,AUTOMOVIL,2,30,M,8592
1584,LimaEste,AUTOMOVIL,2,55,M,16979
1585,LimaCentro,CAMIONETA RURAL,5,42,F,6087
1586,LimaModerna1,CAMIONETA PICK UP,2,51,M,3585
1587,LimaModerna1,CAMIONETA PICK UP,1,69,M,976
1588,LimaModerna1,CAMIONETA PICK UP,4,44,M,21667
1589,LimaEste,AUTOMOVIL,5,28,M,9324
1590,LimaEste,AUTOMOVIL,3,33,M,5284
1591,LimaNorte,STATION WAGON,3,30,M,6064
1592,LimaCentro,AUTOMOVIL,3,42,M,7293
1593,LimaCentro,AUTOMOVIL,4,73,M,1092
1594,Callao,AUTOMOVIL,4,43,F,3515
1595,Callao,AUTOMOVIL,1,47,M,1307
1596,Callao,AUTOMOVIL,1,24,M,1223
1597,Callao,AUTOMOVIL,3,43,M,1587
1598,LimaModerna1,AUTOMOVIL,1,27,M,8000
1599,LimaModerna1,AUTOMOVIL,1,55,M,2180
1600,LimaModerna1,AUTOMOVIL,2,48,M,10155
1601,LimaModerna1,AUTOMOVIL,3,71,M,2227
1602,LimaModerna1,AUTOMOVIL,1,32,M,1660
1603,LimaModerna1,AUTOMOVIL,2,36,M,2000
1604,LimaNorte,CAMIONETA RURAL,1,45,M,2593
1605,Callao,AUTOMOVIL,5,38,F,930
1606,Callao,AUTOMOVIL,2,46,M,7004
1607,Callao,AUTOMOVIL,2,46,M,3290
1608,LimaModerna1,AUTOMOVIL,5,43,F,5343
1609,LimaModerna1,AUTOMOVIL,3,68,M,1361
1610,LimaModerna1,AUTOMOVIL,3,29,M,1496
1611,LimaEste,AUTOMOVIL,3,58,M,4300
1612,LimaEste,CAMIONETA RURAL,2,67,M,11714
1613,LimaEste,CAMIONETA RURAL,2,67,M,11714
1614,LimaEste,CAMIONETA RURAL,5,56,M,3600
1615,LimaEste,CAMIONETA RURAL,3,30,M,3727
1616,LimaModerna1,AUTOMOVIL,5,47,F,11768
1617,LimaModerna2,AUTOMOVIL,1,53,M,17101
1618,LimaModerna2,AUTOMOVIL,1,48,M,1510
1619,LimaModerna2,AUTOMOVIL,2,37,M,2667
1620,LimaModerna1,AUTOMOVIL,3,52,M,5293
1621,LimaModerna1,AUTOMOVIL,3,50,M,1523
1622,LimaModerna1,AUTOMOVIL,1,33,F,1023
1623,LimaModerna2,AUTOMOVIL,4,38,M,3500
1624,LimaModerna2,AUTOMOVIL,3,47,M,1450
1625,LimaModerna2,AUTOMOVIL,2,35,F,10861
1626,LimaModerna2,AUTOMOVIL,1,48,M,3183
1627,LimaModerna1,CAMIONETA RURAL,4,61,F,10000
1628,LimaModerna1,CAMIONETA RURAL,3,59,M,17194
1629,LimaNorte,CAMIONETA RURAL,2,35,F,7793
1630,LimaNorte,CAMIONETA RURAL,2,45,M,8211
1631,LimaNorte,STATION WAGON,5,41,M,1600
1632,LimaEste,AUTOMOVIL,1,40,M,6200
1633,LimaEste,AUTOMOVIL,2,44,M,3194
1634,LimaEste,AUTOMOVIL,2,27,M,930
1635,LimaEste,AUTOMOVIL,2,36,M,8200
1636,LimaEste,AUTOMOVIL,4,26,F,7529
1637,LimaEste,AUTOMOVIL,3,41,M,26162
1638,LimaModerna1,CAMIONETA PICK UP,1,40,M,6200
1639,LimaModerna1,CAMIONETA PICK UP,3,69,M,4064
1640,LimaModerna1,CAMIONETA PICK UP,2,61,M,33084
1641,LimaModerna1,AUTOMOVIL,4,39,M,13293
1642,LimaModerna1,AUTOMOVIL,3,36,M,48093
1643,LimaModerna1,AUTOMOVIL,1,71,M,13180
1644,LimaModerna1,AUTOMOVIL,6,43,M,11550
1645,LimaModerna1,AUTOMOVIL,3,45,M,35514
1646,LimaModerna1,AUTOMOVIL,3,45,M,35514
1647,LimaModerna1,AUTOMOVIL,2,47,F,12017
1648,LimaModerna1,AUTOMOVIL,3,29,M,7000
1649,LimaModerna1,AUTOMOVIL,1,48,M,4963
1650,LimaModerna2,AUTOMOVIL,1,63,M,9000
1651,LimaModerna2,AUTOMOVIL,1,51,F,3593
1652,LimaModerna2,AUTOMOVIL,2,42,M,1093
1653,LimaModerna1,AUTOMOVIL,3,55,M,7211
1654,LimaModerna1,CAMIONETA RURAL,2,34,M,7000
1655,LimaModerna2,CAMIONETA RURAL,2,46,F,4000
1656,LimaModerna2,CAMIONETA RURAL,5,70,M,1385
1657,LimaModerna2,CAMIONETA RURAL,1,40,M,850
1658,LimaModerna2,AUTOMOVIL,5,27,F,4455
1659,LimaModerna2,AUTOMOVIL,2,31,M,5700
1660,LimaModerna2,AUTOMOVIL,3,28,M,12670
1661,Callao,AUTOMOVIL,3,41,M,3200
1662,Callao,AUTOMOVIL,6,63,M,2592
1663,LimaModerna1,AUTOMOVIL,1,39,M,13017
1664,LimaModerna1,AUTOMOVIL,1,30,M,9434
1665,LimaModerna1,AUTOMOVIL,4,33,M,2184
1666,LimaModerna1,AUTOMOVIL,4,53,F,79998
1667,LimaModerna1,AUTOMOVIL,4,53,F,79998
1668,LimaModerna1,AUTOMOVIL,3,46,M,30093
1669,LimaModerna1,AUTOMOVIL,1,57,M,4958
1670,LimaModerna1,AUTOMOVIL,5,65,M,21350
1671,LimaModerna1,AUTOMOVIL,2,48,M,23607
1672,LimaModerna1,AUTOMOVIL,3,46,M,20093
1673,LimaModerna1,AUTOMOVIL,4,31,F,2720
1674,LimaEste,CAMIONETA RURAL,2,54,M,2097
1675,LimaCentro,CAMIONETA RURAL,3,46,M,5325
1676,LimaEste,AUTOMOVIL,2,38,F,11768
1677,LimaEste,AUTOMOVIL,3,38,F,5500
1678,LimaEste,AUTOMOVIL,2,27,M,5008
1679,LimaEste,AUTOMOVIL,5,30,F,2791
1680,LimaModerna1,CAMIONETA RURAL,1,38,F,14608
1681,LimaModerna1,AUTOMOVIL,4,37,M,6362
1682,LimaEste,AUTOMOVIL,2,44,M,10968
1683,LimaEste,AUTOMOVIL,4,27,F,5600
1684,LimaEste,AUTOMOVIL,2,30,M,7236
1685,LimaModerna2,AUTOMOVIL,3,30,F,7000
1686,LimaModerna2,AUTOMOVIL,3,30,M,5205
1687,LimaModerna2,AUTOMOVIL,2,28,M,5642
1688,LimaModerna2,AUTOMOVIL,2,31,F,7398
1689,LimaCentro,CAMIONETA RURAL,2,38,M,6520
1690,LimaCentro,CAMIONETA RURAL,3,37,F,7943
1691,LimaModerna1,CAMIONETA PICK UP,5,68,M,1800
1692,LimaEste,CAMIONETA RURAL,2,55,M,1500
1693,LimaCentro,AUTOMOVIL,2,68,M,1200
1694,Callao,AUTOMOVIL,4,33,F,1352
1695,Callao,AUTOMOVIL,5,62,M,4693
1696,LimaModerna1,AUTOMOVIL,3,33,M,10000
1697,LimaModerna1,AUTOMOVIL,3,63,M,4785
1698,LimaModerna1,AUTOMOVIL,3,47,F,11682
1699,LimaCentro,STATION WAGON,1,56,F,1638
1700,LimaModerna1,AUTOMOVIL,2,78,M,2162
1701,LimaModerna1,AUTOMOVIL,5,60,M,5978
1702,LimaModerna1,AUTOMOVIL,6,49,M,930
1703,LimaNorte,CAMIONETA RURAL,1,34,F,6693
1704,LimaNorte,CAMIONETA RURAL,1,53,M,12000
1705,LimaNorte,AUTOMOVIL,2,45,M,823
1706,Callao,AUTOMOVIL,1,57,M,7718
1707,LimaModerna1,AUTOMOVIL,5,39,F,1100
1708,LimaModerna1,AUTOMOVIL,3,76,M,992
1709,LimaModerna1,AUTOMOVIL,2,63,F,1471
1710,LimaEste,CAMIONETA RURAL,1,35,M,4289
1711,LimaEste,CAMIONETA RURAL,4,43,M,2393
1712,LimaEste,CAMIONETA RURAL,3,34,F,9175
1713,LimaEste,CAMIONETA RURAL,6,36,M,1987
1714,LimaEste,CAMIONETA RURAL,1,32,M,16500
1715,LimaEste,CAMIONETA RURAL,3,42,F,3732
1716,LimaModerna1,AUTOMOVIL,4,50,F,13884
1717,LimaModerna1,AUTOMOVIL,1,44,M,8400
1718,LimaModerna1,AUTOMOVIL,3,65,M,13002
1719,LimaModerna1,AUTOMOVIL,3,41,M,8186
1720,LimaModerna1,AUTOMOVIL,2,31,F,1500
1721,LimaModerna1,AUTOMOVIL,7,36,F,2500
1722,LimaModerna2,AUTOMOVIL,3,41,F,4790
1723,LimaModerna2,AUTOMOVIL,2,40,F,1500
1724,LimaModerna2,AUTOMOVIL,3,33,M,38408
1725,LimaModerna2,AUTOMOVIL,1,29,M,5200
1726,LimaModerna1,CAMIONETA RURAL,3,61,F,1365
1727,LimaModerna1,CAMIONETA RURAL,4,53,M,12104
1728,LimaModerna1,CAMIONETA RURAL,4,47,M,14500
1729,LimaNorte,AUTOMOVIL,3,29,M,1787
1730,LimaNorte,AUTOMOVIL,5,45,M,3000
1731,LimaEste,AUTOMOVIL,4,28,F,3000
1732,LimaEste,AUTOMOVIL,3,41,M,2836
1733,LimaEste,AUTOMOVIL,2,46,M,6925
1734,LimaModerna1,CAMIONETA PICK UP,3,57,M,785
1735,LimaModerna1,CAMIONETA PICK UP,2,61,M,33084
1736,LimaModerna1,CAMIONETA PICK UP,1,62,M,8152
1737,LimaModerna1,CAMIONETA RURAL,1,30,M,13000
1738,LimaModerna1,AUTOMOVIL,2,37,M,32463
1739,LimaModerna1,AUTOMOVIL,5,39,M,17783
1740,LimaModerna1,AUTOMOVIL,4,50,F,8093
1741,LimaModerna1,AUTOMOVIL,7,57,M,1608
1742,LimaModerna1,AUTOMOVIL,1,26,M,5000
1743,LimaModerna1,AUTOMOVIL,2,38,M,32000
1744,LimaModerna1,AUTOMOVIL,2,37,M,15450
1745,LimaModerna1,AUTOMOVIL,2,26,M,2200
1746,LimaCentro,AUTOMOVIL,3,63,M,2000
1747,LimaModerna1,AUTOMOVIL,3,34,F,3809
1748,LimaModerna1,AUTOMOVIL,1,32,F,5000
1749,LimaModerna1,AUTOMOVIL,2,56,M,1775
1750,LimaModerna2,AUTOMOVIL,4,45,M,1000
1751,LimaModerna2,AUTOMOVIL,3,69,M,1148
1752,LimaSur,AUTOMOVIL,3,53,M,930
1753,LimaModerna1,AUTOMOVIL,1,36,M,4273
1754,LimaModerna1,AUTOMOVIL,2,27,F,930
1755,LimaModerna1,CAMIONETA RURAL,2,47,M,5589
1756,LimaModerna2,CAMIONETA RURAL,5,67,M,4532
1757,LimaModerna2,CAMIONETA RURAL,2,46,F,12767
1758,LimaModerna2,CAMIONETA RURAL,5,52,M,17979
1759,LimaModerna2,AUTOMOVIL,2,25,F,2000
1760,LimaModerna2,AUTOMOVIL,1,47,F,7840
1761,LimaModerna1,AUTOMOVIL,4,70,F,1323
1762,LimaModerna1,AUTOMOVIL,3,60,M,3005
1763,LimaModerna1,AUTOMOVIL,3,24,M,1535
1764,LimaModerna1,AUTOMOVIL,5,39,M,5893
1765,LimaModerna1,AUTOMOVIL,4,29,M,6450
1766,LimaModerna1,AUTOMOVIL,1,77,M,1785
1767,LimaModerna1,AUTOMOVIL,4,25,M,3850
1768,LimaModerna1,AUTOMOVIL,2,40,F,12536
1769,LimaModerna1,AUTOMOVIL,2,31,M,9065
1770,LimaModerna1,AUTOMOVIL,4,37,F,9500
1771,LimaEste,CAMIONETA RURAL,2,60,M,2671
1772,LimaEste,CAMIONETA RURAL,4,47,M,3803
1773,LimaCentro,CAMIONETA RURAL,6,43,M,3100
1774,LimaModerna1,AUTOMOVIL,1,31,M,7560
1775,LimaModerna1,AUTOMOVIL,2,44,M,930
1776,LimaModerna1,AUTOMOVIL,1,31,M,1293
1777,LimaEste,AUTOMOVIL,4,47,M,3721
1778,LimaEste,AUTOMOVIL,5,29,F,2791
1779,LimaEste,AUTOMOVIL,1,70,M,6965
1780,LimaEste,AUTOMOVIL,1,70,M,6965
1781,LimaEste,AUTOMOVIL,5,51,M,2000
1782,LimaEste,CAMIONETA PICK UP,3,58,M,4451
1783,LimaEste,CAMIONETA PICK UP,2,41,M,4000
1784,LimaCentro,AUTOMOVIL,2,32,F,8000
1785,LimaEste,AUTOMOVIL,2,30,M,7236
1786,LimaEste,AUTOMOVIL,2,42,M,5000
1787,LimaModerna2,AUTOMOVIL,1,30,M,2786
1788,LimaModerna2,AUTOMOVIL,3,35,M,10626
1789,LimaModerna2,AUTOMOVIL,2,39,M,5533
1790,LimaCentro,CAMIONETA RURAL,5,51,M,1400
1791,LimaModerna1,CAMIONETA PICK UP,4,42,M,15782
1792,LimaEste,CAMIONETA RURAL,2,51,M,2970
1793,LimaEste,CAMIONETA RURAL,1,65,M,3278
1794,LimaModerna2,AUTOMOVIL,1,48,M,1327
1795,LimaCentro,AUTOMOVIL,3,36,M,2893
1796,LimaCentro,AUTOMOVIL,4,62,M,1800
1797,Callao,AUTOMOVIL,2,35,M,5136
1798,LimaModerna1,CAMIONETA RURAL,5,50,M,5234
1799,LimaModerna1,CAMIONETA RURAL,5,50,M,5234
1800,LimaModerna1,CAMIONETA RURAL,5,50,M,5234
1801,LimaModerna1,AUTOMOVIL,4,34,M,8444
1802,LimaModerna1,AUTOMOVIL,4,40,M,5690
1803,LimaModerna1,AUTOMOVIL,2,44,F,6093
1804,LimaModerna1,AUTOMOVIL,3,38,F,4122
1805,LimaModerna1,AUTOMOVIL,1,32,M,4700
1806,LimaModerna2,AUTOMOVIL,1,34,F,850
1807,LimaCentro,STATION WAGON,3,41,M,2541
1808,LimaModerna1,AUTOMOVIL,1,54,M,12893
1809,LimaModerna1,AUTOMOVIL,1,33,M,4589
1810,LimaModerna1,AUTOMOVIL,3,81,M,3000
1811,LimaModerna1,AUTOMOVIL,1,45,M,3175
1812,LimaNorte,CAMIONETA RURAL,4,48,F,1160
1813,LimaModerna1,AUTOMOVIL,5,58,M,6921
1814,LimaModerna1,AUTOMOVIL,2,55,M,2000
1815,LimaEste,CAMIONETA RURAL,3,57,M,8593
1816,LimaEste,CAMIONETA RURAL,5,46,M,4385
1817,LimaEste,CAMIONETA RURAL,2,36,M,11550
1818,LimaEste,CAMIONETA RURAL,4,48,M,11900
1819,LimaModerna1,AUTOMOVIL,5,70,F,1682
1820,LimaModerna1,AUTOMOVIL,1,34,M,11367
1821,LimaModerna1,AUTOMOVIL,1,42,M,13288
1822,LimaModerna1,AUTOMOVIL,4,69,F,5872
1823,LimaModerna1,AUTOMOVIL,4,54,M,11258
1824,LimaModerna1,AUTOMOVIL,4,69,F,5872
1825,LimaModerna1,AUTOMOVIL,4,41,M,4302
1826,LimaModerna2,AUTOMOVIL,5,40,M,3425
1827,LimaModerna2,AUTOMOVIL,1,50,M,12218
1828,LimaModerna2,AUTOMOVIL,5,66,M,1586
1829,LimaModerna1,AUTOMOVIL,2,25,F,3500
1830,LimaModerna1,AUTOMOVIL,2,29,F,5973
1831,LimaModerna2,AUTOMOVIL,1,36,M,9392
1832,LimaModerna2,AUTOMOVIL,1,45,M,11500
1833,LimaModerna2,AUTOMOVIL,5,29,M,6500
1834,LimaModerna2,AUTOMOVIL,1,36,F,4432
1835,LimaModerna1,CAMIONETA RURAL,3,39,F,5419
1836,LimaModerna1,CAMIONETA RURAL,4,73,M,30735
1837,LimaModerna1,CAMIONETA RURAL,3,45,M,3900
1838,LimaModerna1,CAMIONETA RURAL,3,59,M,4539
1839,LimaModerna1,CAMIONETA RURAL,3,54,M,18718
1840,LimaEste,AUTOMOVIL,5,48,F,1405
1841,LimaEste,AUTOMOVIL,3,64,M,930
1842,LimaEste,AUTOMOVIL,2,42,F,3963
1843,LimaModerna1,CAMIONETA RURAL,4,39,F,14700
1844,LimaModerna1,CAMIONETA PICK UP,4,47,M,16900
1845,LimaModerna1,AUTOMOVIL,4,46,M,37093
1846,LimaModerna1,AUTOMOVIL,2,33,M,1000
1847,LimaModerna1,AUTOMOVIL,3,64,M,26721
1848,LimaCentro,AUTOMOVIL,5,50,F,2730
1849,LimaModerna1,AUTOMOVIL,3,39,F,8093
1850,LimaModerna1,AUTOMOVIL,2,42,F,936
1851,LimaModerna1,AUTOMOVIL,1,44,F,9478
1852,LimaModerna2,AUTOMOVIL,4,36,F,1005
1853,LimaModerna2,AUTOMOVIL,3,46,M,3585
1854,LimaModerna1,CAMIONETA RURAL,5,41,M,1454
1855,LimaModerna1,CAMIONETA RURAL,3,44,M,10093
1856,LimaModerna1,CAMIONETA RURAL,3,39,F,10593
1857,LimaModerna2,CAMIONETA RURAL,2,71,M,12767
1858,LimaModerna2,CAMIONETA RURAL,2,46,F,12767
